champ,role,winrate,banrate,pickrate,change,rank
Zed,MID,51.15,27.55,8.98,no change,plattogm
Ziggs,MID,51.39,0.08,0.93,no change,plattogm
Ziggs,ADC,50.92,0.08,0.31,no change,plattogm
Zilean,SUPPORT,54.17,0.64,3.04,no change,plattogm
Zilean,MID,48.62,0.64,0.67,no change,plattogm
Zoe,MID,48.96,3.31,3.92,no change,plattogm
Zyra,SUPPORT,53.31,0.65,2.36,no change,plattogm
Aatrox,TOP,49.43,3.47,5.62,no change,plattogm
Aatrox,MID,51.42,3.47,0.84,no change,plattogm
Ahri,MID,51.39,1.29,6.08,no change,plattogm
Akali,MID,48.04,12.02,7.67,no change,plattogm
Akali,TOP,49.34,12.02,3.53,no change,plattogm
Alistar,SUPPORT,50.81,5.45,12.32,nerf,plattogm
Amumu,JUNGLE,51.43,0.52,1.84,buff,plattogm
Anivia,MID,49.96,9.45,4.28,no change,plattogm
Annie,MID,54.22,0.95,2.53,no change,plattogm
Aphelios,ADC,44.55,0.9,4.08,no change,plattogm
Ashe,ADC,51.3,0.41,4.37,buff,plattogm
Aurelion Sol,MID,54.24,0.25,0.83,no change,plattogm
Azir,MID,45.77,0.27,1.57,no change,plattogm
Bard,SUPPORT,53.95,2.18,6.84,no change,plattogm
Blitzcrank,SUPPORT,51.23,7.3,5.99,no change,plattogm
Brand,SUPPORT,51.12,2.2,2.69,no change,plattogm
Brand,MID,53.55,2.7,0.68,no change,plattogm
Braum,SUPPORT,51.24,0.25,2.29,buff,plattogm
Caitlyn,ADC,51.69,5.73,13.97,no change,plattogm
Camille,TOP,50.38,9.23,7.96,no change,plattogm
Cassiopeia,MID,50.77,1.32,2.14,no change,plattogm
Cassiopeia,TOP,54.03,1.32,0.55,no change,plattogm
Cho'Gath,TOP,51.77,2.2,5.28,no change,plattogm
Cho'Gath,MID,51.82,2.2,1.18,no change,plattogm
Corki,MID,52.61,0.24,2.2,no change,plattogm
Darius,TOP,53.37,30.52,6.89,no change,plattogm
Diana,MID,52.74,3.16,4.51,no change,plattogm
Dr. Mundo,JUNGLE,51.63,2.95,4.88,no change,plattogm
Draven,ADC,51.15,4.31,4.69,no change,plattogm
Ekko,MID,49.83,4.1,3.76,no change,plattogm
Ekko,JUNGLE,48.74,4.1,4.87,no change,plattogm
Elise,JUNGLE,53.27,9.81,6.66,no change,plattogm
Evelynn,JUNGLE,51.25,11.91,4.66,no change,plattogm
Ezreal,ADC,49.04,3.41,17.95,no change,plattogm
Fiddlesticks,JUNGLE,53.9,4.34,4.2,no change,plattogm
Fiora,TOP,51.1,10.34,6.97,no change,plattogm
Fizz,MID,52.08,10.06,4,no change,plattogm
Galio,MID,53.19,2.37,4.42,no change,plattogm
Galio,SUPPORT,53.47,2.37,3.52,no change,plattogm
Gangplank,TOP,48.03,2.11,4.22,no change,plattogm
Gangplank,MID,52.92,2.11,0.56,no change,plattogm
Garen,TOP,52.17,4.21,5.8,no change,plattogm
Garen,MID,55.27,4.21,1,no change,plattogm
Gnar,TOP,49.55,16.98,10.79,no change,plattogm
Gragas,TOP,48.9,1.67,3.68,no change,plattogm
Gragas,JUNGLE,50.12,1.67,3.11,no change,plattogm
Gragas,SUPPORT,50.78,1.67,2.14,no change,plattogm
Graves,JUNGLE,49.48,4.91,8.65,no change,plattogm
Hecarim,JUNGLE,53.17,59.47,14.05,nerf,plattogm
Heimerdinger,MID,57.58,0.58,0.78,no change,plattogm
Heimerdinger,TOP,55.25,0.58,0.86,no change,plattogm
Heimerdinger,ADC,54.7,0.58,0.39,no change,plattogm
Illaoi,TOP,47.8,1.67,1.59,no change,plattogm
Irelia,TOP,47.04,17.8,6.45,no change,plattogm
Irelia,MID,45.03,17.8,3.68,no change,plattogm
Ivern,JUNGLE,51.42,0.86,2.29,nerf,plattogm
Janna,SUPPORT,50.65,0.5,5.59,no change,plattogm
Jarvan IV,JUNGLE,48.69,0.22,3.27,no change,plattogm
Jax,TOP,48.79,5.35,4.55,no change,plattogm
Jax,JUNGLE,50.01,5.11,1.05,no change,plattogm
Jayce,TOP,49.55,1.76,4.26,no change,plattogm
Jayce,MID,51.49,1.76,1.09,no change,plattogm
Jhin,ADC,51.94,3.36,13.53,no change,plattogm
Jinx,ADC,53.02,3.45,15.82,no change,plattogm
Kai'Sa,ADC,51.32,27.1,30.4,no change,plattogm
Kalista,ADC,50.18,0.44,1.89,no change,plattogm
Kalista,TOP,44.69,0.42,0.33,no change,plattogm
Karma,SUPPORT,50.22,0.72,6.59,no change,plattogm
Karthus,JUNGLE,50.77,10.77,4.22,no change,plattogm
Kassadin,MID,52.43,23.4,5.35,no change,plattogm
Katarina,MID,50.83,15.85,7.49,no change,plattogm
Kayle,TOP,51.51,0.3,1.79,no change,plattogm
Kayle,MID,54.68,0.3,0.31,no change,plattogm
Kayn,JUNGLE,50.6,11,9.62,no change,plattogm
Kennen,TOP,49.05,0.39,1.97,no change,plattogm
Kennen,MID,53.39,0.35,0.41,no change,plattogm
Kha'Zix,JUNGLE,51.95,11.42,9.16,no change,plattogm
Kindred,JUNGLE,50.9,0.85,3.1,buff,plattogm
Kled,MID,54.37,0.75,0.37,no change,plattogm
Kled,TOP,48.6,0.75,1.8,no change,plattogm
Kog'Maw,ADC,53.44,0.16,1.4,no change,plattogm
Kog'Maw,MID,50.71,0.15,0.18,no change,plattogm
LeBlanc,MID,49.65,3.26,3.66,no change,plattogm
Lee Sin,JUNGLE,50.6,2.91,11.39,no change,plattogm
Leona,SUPPORT,49.13,18.13,10.64,no change,plattogm
Lillia,JUNGLE,47.3,4.82,7.66,no change,plattogm
Lissandra,MID,52.1,0.29,1.77,buff,plattogm
Lissandra,TOP,52.68,0.32,0.25,buff,plattogm
Lucian,MID,47.65,4.92,4.63,no change,plattogm
Lucian,ADC,48.36,4.92,6.18,no change,plattogm
Lucian,TOP,47.42,4.92,1.3,no change,plattogm
Lulu,SUPPORT,51.43,13.03,13.03,no change,plattogm
Lux,MID,54.23,0.74,3.36,no change,plattogm
Lux,SUPPORT,49.03,0.74,4.44,no change,plattogm
Malphite,TOP,51.08,12.93,6.78,no change,plattogm
Malphite,MID,57.72,12.93,1.15,no change,plattogm
Malzahar,MID,52.85,2.25,2.88,no change,plattogm
Malzahar,TOP,55.73,2.56,0.39,no change,plattogm
Maokai,SUPPORT,55.13,0.44,2.22,no change,plattogm
Maokai,TOP,53.03,0.44,1.34,no change,plattogm
Master Yi,JUNGLE,49.04,7.2,4.43,no change,plattogm
Miss Fortune,ADC,52.59,0.31,4.34,no change,plattogm
Mordekaiser,TOP,47.71,3.31,4.05,buff,plattogm
Mordekaiser,MID,53.17,3.78,0.59,buff,plattogm
Morgana,SUPPORT,49.04,27.63,7.58,no change,plattogm
Nami,SUPPORT,51.79,0.16,5.11,no change,plattogm
Nasus,TOP,52.82,2.15,3.5,no change,plattogm
Nautilus,SUPPORT,49.62,7.65,7.77,no change,plattogm
Neeko,MID,50.51,0.36,1.85,no change,plattogm
Neeko,TOP,55.04,0.36,0.4,no change,plattogm
Neeko,SUPPORT,44.68,0.36,0.58,no change,plattogm
Nidalee,JUNGLE,48.9,4.06,7.44,no change,plattogm
Nocturne,JUNGLE,51.94,3.29,4.97,no change,plattogm
Nocturne,TOP,53.24,3.29,1.17,no change,plattogm
Nocturne,MID,52.92,3.29,1.21,no change,plattogm
Olaf,JUNGLE,50.6,5.04,4.02,no change,plattogm
Orianna,MID,49.66,0.61,5.4,no change,plattogm
Ornn,TOP,52.44,0.63,3.87,no change,plattogm
Pantheon,MID,52.68,6.06,2.4,no change,plattogm
Pantheon,TOP,51.13,6.06,1.16,no change,plattogm
Pantheon,SUPPORT,48.16,6.06,1.77,no change,plattogm
Poppy,TOP,51.76,1.38,2.4,no change,plattogm
Poppy,JUNGLE,52.37,1.38,1.48,no change,plattogm
Poppy,SUPPORT,47.01,1.38,0.44,no change,plattogm
Pyke,SUPPORT,47.78,5.08,6.26,no change,plattogm
Pyke,MID,49.62,5.08,0.71,no change,plattogm
Qiyana,MID,49.8,4.46,5.37,no change,plattogm
Quinn,MID,59.61,1.13,0.3,no change,plattogm
Quinn,TOP,52.09,1.13,1.75,no change,plattogm
Rakan,SUPPORT,53.45,0.19,4.65,no change,plattogm
Rammus,JUNGLE,50.13,5.51,2.68,no change,plattogm
Rek'Sai,JUNGLE,49.47,2.17,3.69,no change,plattogm
Rell,SUPPORT,51.41,18.64,7.15,nerf,plattogm
Renekton,TOP,49.44,8.9,5.9,no change,plattogm
Renekton,MID,53.15,8.9,1.34,no change,plattogm
Rengar,JUNGLE,49.73,5.94,3.63,no change,plattogm
Rengar,TOP,52.08,5.94,1.11,no change,plattogm
Riven,TOP,51.7,3.35,6.38,no change,plattogm
Riven,MID,53.73,3.35,1.04,no change,plattogm
Rumble,MID,55.02,0.3,1.25,no change,plattogm
Rumble,TOP,46.67,0.3,1.24,no change,plattogm
Ryze,MID,46.85,0.39,3.25,no change,plattogm
Ryze,TOP,44.84,0.39,1.28,no change,plattogm
Samira,ADC,50.08,13.15,10.35,no change,plattogm
Sejuani,JUNGLE,50.35,0.19,2.22,no change,plattogm
Sejuani,TOP,45.97,0.2,0.29,no change,plattogm
Senna,SUPPORT,49.74,11.52,9.13,no change,plattogm
Senna,ADC,49.84,11.52,2.71,no change,plattogm
Seraphine,SUPPORT,52.07,15.1,8.04,no change,plattogm
Seraphine,MID,50.22,15.1,1.66,no change,plattogm
Sett,TOP,49.87,2.22,4.69,no change,plattogm
Sett,MID,51.67,2.22,1.19,no change,plattogm
Sett,SUPPORT,46.4,2.22,2.03,no change,plattogm
Shaco,JUNGLE,52.88,15.88,7.08,no change,plattogm
Shaco,SUPPORT,49.5,15.88,1.78,no change,plattogm
Shen,TOP,51.49,1.87,5.66,no change,plattogm
Shyvana,JUNGLE,50.24,0.24,1.6,no change,plattogm
Shyvana,TOP,47.05,0.26,0.23,no change,plattogm
Singed,TOP,50.44,0.25,1.59,no change,plattogm
Singed,MID,54.83,0.25,0.23,no change,plattogm
Sion,TOP,51.05,0.46,4.76,no change,plattogm
Sion,MID,51.33,0.46,0.62,no change,plattogm
Sivir,ADC,51.51,3.4,7.26,no change,plattogm
Skarner,JUNGLE,53.13,1.48,2.79,no change,plattogm
Sona,SUPPORT,53.52,0.1,1.69,no change,plattogm
Soraka,SUPPORT,48.96,0.36,2.94,no change,plattogm
Swain,ADC,54.78,2.4,1.08,no change,plattogm
Swain,MID,54.53,2.4,0.74,no change,plattogm
Swain,SUPPORT,49.11,2.4,2.57,no change,plattogm
Sylas,MID,50.08,4.27,8.36,no change,plattogm
Sylas,TOP,52.13,4.27,3.64,no change,plattogm
Syndra,MID,47.25,0.82,3.38,no change,plattogm
Tahm Kench,ADC,50.14,0.15,0.31,no change,plattogm
Tahm Kench,SUPPORT,44.75,0.17,0.24,no change,plattogm
Tahm Kench,TOP,44.27,0.15,0.55,no change,plattogm
Taliyah,JUNGLE,50.65,0.37,2.21,no change,plattogm
Taliyah,SUPPORT,53.53,0.37,0.26,no change,plattogm
Talon,MID,50.08,7,5.01,no change,plattogm
Taric,SUPPORT,50.29,0.22,1.08,no change,plattogm
Teemo,TOP,52.59,1.76,2.41,buff,plattogm
Teemo,MID,47.61,2.09,0.36,buff,plattogm
Thresh,SUPPORT,51.61,20.34,20.48,nerf,plattogm
Tristana,ADC,51.17,17.81,18.24,nerf,plattogm
Tristana,MID,50.1,17.81,2.49,nerf,plattogm
Trundle,JUNGLE,48.92,0.14,0.9,no change,plattogm
Trundle,TOP,50.21,0.14,0.4,no change,plattogm
Tryndamere,MID,54.89,1.98,0.43,no change,plattogm
Tryndamere,TOP,48.48,1.98,2.2,no change,plattogm
Twisted Fate,MID,50.75,1.43,6.61,no change,plattogm
Twitch,ADC,51.51,2.3,3.72,no change,plattogm
Udyr,JUNGLE,51.54,39.74,8.82,nerf,plattogm
Urgot,TOP,52.16,3.48,5.4,no change,plattogm
Urgot,MID,60.17,3.48,0.59,no change,plattogm
Varus,ADC,47.92,0.16,2.61,buff,plattogm
Varus,MID,42.58,0.16,0.41,buff,plattogm
Vayne,ADC,53.04,10.79,11.81,no change,plattogm
Vayne,TOP,50.81,10.79,1.68,no change,plattogm
Veigar,MID,52.18,0.57,2.66,no change,plattogm
Veigar,ADC,49.46,0.57,0.88,no change,plattogm
Veigar,SUPPORT,45.84,0.65,0.55,no change,plattogm
Vel'Koz,MID,56.28,0.48,1.79,no change,plattogm
Vel'Koz,SUPPORT,48.24,0.48,1.58,no change,plattogm
Vi,JUNGLE,54.33,0.31,2.51,no change,plattogm
Viego,JUNGLE,50.09,34.84,7.18,no change,plattogm
Viego,MID,50.62,34.84,2.81,no change,plattogm
Viego,TOP,48.95,34.84,2.21,no change,plattogm
Viktor,MID,52.05,0.74,4.12,no change,plattogm
Vladimir,MID,50.94,4.61,3.89,no change,plattogm
Vladimir,TOP,50.22,4.61,1.79,no change,plattogm
Volibear,TOP,51.25,4.38,4.9,no change,plattogm
Volibear,JUNGLE,52.27,4.38,5.13,no change,plattogm
Warwick,JUNGLE,53.21,0.64,2.77,no change,plattogm
Warwick,TOP,55.61,0.59,0.81,no change,plattogm
Wukong,TOP,53.75,1.92,4.2,no change,plattogm
Wukong,MID,58.56,1.92,0.57,no change,plattogm
Wukong,JUNGLE,43.18,1.8,0.57,no change,plattogm
Xayah,ADC,48.64,0.51,7.09,no change,plattogm
Xerath,MID,52.62,0.88,1.76,no change,plattogm
Xerath,SUPPORT,49.47,0.88,1.99,no change,plattogm
Xin Zhao,JUNGLE,49.81,3.57,6.39,no change,plattogm
Xin Zhao,TOP,46.56,3.57,0.89,no change,plattogm
Yasuo,MID,47.63,14.82,6.74,buff,plattogm
Yasuo,TOP,47.4,14.82,1.79,buff,plattogm
Yasuo,ADC,47.72,14.82,1.25,buff,plattogm
Yone,MID,50.15,29.34,10.05,no change,plattogm
Yone,TOP,50.87,29.34,2.88,no change,plattogm
Yorick,MID,53.43,0.4,0.14,no change,plattogm
Yorick,TOP,46.43,0.35,1.04,no change,plattogm
Yuumi,SUPPORT,48.8,9.12,8.44,no change,plattogm
Zac,JUNGLE,50.48,0.57,2.3,no change,plattogm
Zac,TOP,53.47,0.57,0.34,no change,plattogm
Zac,SUPPORT,47.88,0.56,0.23,no change,plattogm
Zed,MID,51.66,29.31,9.39,no change,plattogm
Ziggs,MID,52.69,0.08,0.91,no change,plattogm
Ziggs,ADC,51.33,0.08,0.3,no change,plattogm
Zilean,SUPPORT,54.08,0.79,3.26,no change,plattogm
Zilean,MID,52.21,0.79,0.83,no change,plattogm
Zoe,MID,48.09,3.01,3.89,no change,plattogm
Zyra,SUPPORT,53.52,0.71,2.43,no change,plattogm
Aatrox,TOP,49.59,3.13,5.8,no change,plattogm
Aatrox,MID,51.65,3.13,0.78,no change,plattogm
Ahri,MID,52.36,1.32,5.59,no change,plattogm
Akali,MID,47.68,12.35,7.14,no change,plattogm
Akali,TOP,48.74,12.35,3.33,no change,plattogm
Alistar,SUPPORT,50.95,5.98,10.73,no change,plattogm
Amumu,JUNGLE,54.62,0.59,2.22,no change,plattogm
Anivia,MID,51.9,8.1,3.61,no change,plattogm
Annie,MID,54.59,0.99,2.46,nerf,plattogm
Annie,SUPPORT,50.6,1.06,0.28,nerf,plattogm
Aphelios,ADC,47.6,0.63,3.53,buff,plattogm
Ashe,ADC,53.74,0.59,6.55,no change,plattogm
Aurelion Sol,MID,54.69,0.21,0.8,no change,plattogm
Aurelion Sol,TOP,47.42,0.2,0.09,no change,plattogm
Azir,MID,48.32,0.23,1.53,no change,plattogm
Bard,SUPPORT,53.4,3.23,7.26,no change,plattogm
Blitzcrank,SUPPORT,48.96,7.13,6.19,no change,plattogm
Brand,MID,51.81,2.79,0.69,no change,plattogm
Brand,SUPPORT,48.94,2.28,2.67,no change,plattogm
Braum,SUPPORT,51.18,0.39,3.82,no change,plattogm
Caitlyn,ADC,50.99,5.69,11.17,no change,plattogm
Camille,TOP,51.66,9.13,8.11,no change,plattogm
Cassiopeia,MID,54.83,1.16,2,buff,plattogm
Cassiopeia,TOP,52.32,1.16,0.47,buff,plattogm
Cassiopeia,ADC,51.25,1.18,0.24,buff,plattogm
Cho'Gath,TOP,53.5,2.18,4.83,no change,plattogm
Cho'Gath,MID,53.05,2.18,1.08,no change,plattogm
Corki,MID,52.23,0.29,2.4,no change,plattogm
Darius,TOP,53.37,31.01,7.18,buff,plattogm
Diana,MID,52.98,3.15,4.44,buff,plattogm
Dr. Mundo,JUNGLE,52.29,3.71,4.84,no change,plattogm
Draven,ADC,47.98,4.44,4.75,no change,plattogm
Ekko,MID,51.18,3.75,3.57,no change,plattogm
Ekko,JUNGLE,52.19,3.75,4.6,no change,plattogm
Elise,JUNGLE,52.21,9.09,6.39,no change,plattogm
Evelynn,JUNGLE,51.04,13.27,5,no change,plattogm
Ezreal,ADC,48.71,3.11,18.29,no change,plattogm
Fiddlesticks,JUNGLE,53.9,5.12,4.44,no change,plattogm
Fiora,TOP,51.24,10.25,6.32,no change,plattogm
Fizz,MID,49.82,9.09,3.87,no change,plattogm
Galio,MID,53.75,2.28,4.24,no change,plattogm
Galio,SUPPORT,53.25,2.28,2.08,no change,plattogm
Gangplank,TOP,47.45,2.12,4.4,no change,plattogm
Gangplank,MID,48.72,2.12,0.63,no change,plattogm
Garen,TOP,49.74,3.53,5.2,no change,plattogm
Garen,MID,55.24,3.53,0.88,no change,plattogm
Gnar,TOP,50.71,12.06,9.74,buff,plattogm
Gragas,JUNGLE,51.37,1.22,2.94,no change,plattogm
Gragas,TOP,48.19,1.22,2.9,no change,plattogm
Gragas,SUPPORT,49.44,1.22,2.04,no change,plattogm
Graves,JUNGLE,48.81,4.13,7.67,no change,plattogm
Hecarim,JUNGLE,52.81,60.39,13.18,no change,plattogm
Heimerdinger,MID,51.47,0.58,0.71,no change,plattogm
Heimerdinger,ADC,52.53,0.58,0.44,no change,plattogm
Heimerdinger,TOP,51.3,0.58,0.73,no change,plattogm
Illaoi,TOP,50.69,1.52,1.39,no change,plattogm
Irelia,TOP,47.98,18.04,6.26,no change,plattogm
Irelia,MID,43.35,18.04,3.43,no change,plattogm
Ivern,JUNGLE,50.43,0.72,2.01,no change,plattogm
Janna,SUPPORT,52.1,0.54,5.62,no change,plattogm
Jarvan IV,JUNGLE,52.09,0.2,3.05,no change,plattogm
Jax,TOP,52.37,6.07,4.67,no change,plattogm
Jax,JUNGLE,53.5,5.71,1.07,no change,plattogm
Jayce,TOP,49.26,1.51,4.21,no change,plattogm
Jayce,MID,53.16,1.51,1.14,no change,plattogm
Jhin,ADC,50.02,2.6,12.04,no change,plattogm
Jinx,ADC,53.05,6.45,22.41,no change,plattogm
Kai'Sa,ADC,50.05,19.72,26.57,no change,plattogm
Kalista,ADC,47.65,0.3,1.78,no change,plattogm
Kalista,TOP,50.15,0.3,0.2,no change,plattogm
Karma,SUPPORT,50.6,0.92,7.43,no change,plattogm
Karma,TOP,52.24,0.92,1.04,no change,plattogm
Karma,MID,50.19,0.92,1,no change,plattogm
Karthus,JUNGLE,50.6,8.61,3.7,no change,plattogm
Kassadin,MID,50.57,24.1,4.73,no change,plattogm
Katarina,MID,50.94,16.43,7.66,no change,plattogm
Kayle,MID,50.51,0.27,0.32,no change,plattogm
Kayle,TOP,47.31,0.25,1.72,no change,plattogm
Kayn,JUNGLE,51.58,12.57,9.72,no change,plattogm
Kennen,TOP,52.22,0.31,1.65,no change,plattogm
Kennen,MID,51.48,0.31,0.5,no change,plattogm
Kha'Zix,JUNGLE,51.54,11.53,9.26,no change,plattogm
Kindred,JUNGLE,49.11,1.81,4.26,no change,plattogm
Kled,TOP,50.11,0.83,1.95,no change,plattogm
Kled,MID,52.99,0.83,0.39,no change,plattogm
Kog'Maw,ADC,50.75,0.18,1.42,no change,plattogm
LeBlanc,MID,48.61,2.7,3.18,buff,plattogm
Lee Sin,JUNGLE,49.67,2.95,11.38,buff,plattogm
Leona,SUPPORT,51.23,17.28,10.09,no change,plattogm
Lillia,JUNGLE,46.11,4.05,6.76,no change,plattogm
Lissandra,MID,51.71,0.43,2.32,no change,plattogm
Lissandra,TOP,50.25,0.45,0.33,no change,plattogm
Lucian,MID,47.28,4.43,4.14,no change,plattogm
Lucian,ADC,47.78,4.43,5.3,no change,plattogm
Lucian,TOP,48.75,4.43,1.16,no change,plattogm
Lulu,SUPPORT,51.23,17.22,16.01,no change,plattogm
Lux,MID,52.57,0.8,3.79,no change,plattogm
Lux,SUPPORT,49.74,0.8,4.51,no change,plattogm
Malphite,TOP,50.15,11.51,6.2,no change,plattogm
Malphite,MID,56.6,11.51,1.05,no change,plattogm
Malzahar,MID,52.96,2.63,3.61,no change,plattogm
Maokai,TOP,56.02,0.38,0.96,no change,plattogm
Maokai,SUPPORT,52.68,0.38,2.24,no change,plattogm
Master Yi,JUNGLE,48.05,7.25,4.27,no change,plattogm
Miss Fortune,ADC,50.53,0.26,3.88,no change,plattogm
Mordekaiser,TOP,49.48,4.62,5.68,buff,plattogm
Mordekaiser,MID,50.81,4.62,0.75,buff,plattogm
Morgana,SUPPORT,51,28.2,7.19,buff,plattogm
Nami,SUPPORT,52.95,0.17,5.23,no change,plattogm
Nasus,TOP,51.38,2.34,4,no change,plattogm
Nautilus,SUPPORT,49.93,7.9,7.39,no change,plattogm
Neeko,MID,50.23,0.31,1.64,no change,plattogm
Neeko,SUPPORT,51.63,0.34,0.53,no change,plattogm
Neeko,TOP,52.35,0.31,0.31,no change,plattogm
Nidalee,JUNGLE,48.74,4.01,7.36,no change,plattogm
Nocturne,JUNGLE,52.71,4.33,5.76,no change,plattogm
Nocturne,MID,53.32,4.33,0.86,no change,plattogm
Nocturne,TOP,52.2,4.33,0.97,no change,plattogm
Olaf,JUNGLE,48.63,4.49,3.94,no change,plattogm
Orianna,MID,49.18,0.76,6.62,nerf,plattogm
Ornn,TOP,52.73,0.64,3.8,no change,plattogm
Pantheon,MID,50.6,4.59,2.04,no change,plattogm
Pantheon,TOP,49.84,4.59,0.92,no change,plattogm
Pantheon,SUPPORT,41.41,4.59,1.62,no change,plattogm
Poppy,TOP,51.96,1.38,2.05,no change,plattogm
Poppy,JUNGLE,49.72,1.38,2.15,no change,plattogm
Pyke,SUPPORT,47.69,5.15,6.04,no change,plattogm
Pyke,MID,47.06,5.15,0.77,no change,plattogm
Qiyana,MID,50.26,6.48,6.22,no change,plattogm
Quinn,TOP,51.55,0.91,1.52,no change,plattogm
Quinn,MID,52.62,1.01,0.25,no change,plattogm
Rakan,SUPPORT,52.08,0.26,4.83,no change,plattogm
Rammus,JUNGLE,54.38,5,2.55,tweak,plattogm
Rammus,JUNGLE,54.38,5,2.55,tweak,plattogm
Rek'Sai,JUNGLE,51.05,2.46,3.87,no change,plattogm
Rell,SUPPORT,48.98,12.64,5.54,no change,plattogm
Renekton,TOP,48.14,7.93,5.63,no change,plattogm
Renekton,MID,50.46,7.93,1.25,no change,plattogm
Rengar,JUNGLE,50.1,6.01,3.63,no change,plattogm
Rengar,TOP,51.62,6.01,1.03,no change,plattogm
Riven,TOP,53.15,3.44,6.14,no change,plattogm
Riven,MID,52.88,3.44,0.94,no change,plattogm
Rumble,MID,53.1,0.27,1.31,tweak,plattogm
Rumble,TOP,47.21,0.27,1.14,tweak,plattogm
Ryze,MID,46.07,0.33,3,no change,plattogm
Ryze,TOP,46.81,0.33,1.03,no change,plattogm
Samira,ADC,50.84,18.5,12.62,no change,plattogm
Sejuani,JUNGLE,47.1,0.2,2.13,no change,plattogm
Sejuani,TOP,44.16,0.2,0.25,no change,plattogm
Senna,SUPPORT,49.82,11.98,10.59,no change,plattogm
Senna,ADC,49.15,11.98,2.09,no change,plattogm
Seraphine,SUPPORT,50.88,13.95,7.96,no change,plattogm
Seraphine,ADC,55.05,13.95,1.58,no change,plattogm
Seraphine,MID,49.67,13.95,1.89,no change,plattogm
Sett,TOP,49.16,2.04,4.17,tweak,plattogm
Sett,MID,50.77,2.04,0.98,tweak,plattogm
Sett,SUPPORT,43.44,2.04,1.94,tweak,plattogm
Shaco,JUNGLE,50.62,17.99,7.05,no change,plattogm
Shaco,SUPPORT,52.84,17.99,1.49,no change,plattogm
Shen,TOP,51.36,1.95,5.49,no change,plattogm
Shyvana,JUNGLE,51.83,0.19,1.52,no change,plattogm
Shyvana,TOP,55.27,0.21,0.25,no change,plattogm
Singed,TOP,53.83,0.28,1.52,no change,plattogm
Singed,MID,53.86,0.26,0.21,no change,plattogm
Sion,TOP,50.16,0.46,4.87,no change,plattogm
Sion,MID,51.11,0.46,0.61,no change,plattogm
Sivir,ADC,50.96,2.05,5.96,no change,plattogm
Skarner,JUNGLE,55.13,1.02,2.4,no change,plattogm
Sona,SUPPORT,54.48,0.11,1.71,no change,plattogm
Soraka,SUPPORT,50.83,0.33,3.18,no change,plattogm
Swain,MID,54.88,2.42,0.72,no change,plattogm
Swain,SUPPORT,51.44,2.42,2.57,no change,plattogm
Swain,ADC,51.13,2.42,0.97,no change,plattogm
Sylas,MID,50.97,6.54,10.41,no change,plattogm
Sylas,TOP,50.72,6.54,4.13,no change,plattogm
Syndra,MID,46.96,0.71,3.06,no change,plattogm
Tahm Kench,ADC,54.16,0.23,0.56,no change,plattogm
Tahm Kench,SUPPORT,48.61,0.23,0.5,no change,plattogm
Tahm Kench,TOP,48.78,0.23,0.51,no change,plattogm
Taliyah,JUNGLE,52.63,0.26,1.87,no change,plattogm
Talon,MID,52.06,6.34,4.54,no change,plattogm
Taric,SUPPORT,50.32,0.23,1.13,no change,plattogm
Teemo,TOP,48.57,1.63,2.47,no change,plattogm
Teemo,MID,48.98,1.96,0.37,no change,plattogm
Thresh,SUPPORT,51.74,22.34,19.88,nerf,plattogm
Tristana,ADC,51.28,17.91,14.62,no change,plattogm
Tristana,MID,50.51,17.91,2.16,no change,plattogm
Trundle,JUNGLE,50.31,0.16,0.9,no change,plattogm
Trundle,TOP,50.68,0.17,0.41,no change,plattogm
Tryndamere,MID,52.08,2.03,0.5,no change,plattogm
Tryndamere,TOP,47.56,2.03,2.15,no change,plattogm
Twisted Fate,MID,51.14,1.2,6.02,no change,plattogm
Twitch,ADC,50.96,2.36,5.39,no change,plattogm
Udyr,JUNGLE,50,35.38,8.93,no change,plattogm
Urgot,TOP,51.03,5.06,6.31,no change,plattogm
Urgot,MID,57.7,5.06,0.65,no change,plattogm
Varus,ADC,52.46,0.72,6.11,no change,plattogm
Varus,MID,46.5,0.72,0.74,no change,plattogm
Vayne,ADC,52.52,10.18,11.43,no change,plattogm
Vayne,TOP,49.02,10.18,1.44,no change,plattogm
Veigar,ADC,56.77,0.59,0.94,no change,plattogm
Veigar,MID,50.2,0.59,2.69,no change,plattogm
Veigar,SUPPORT,49.9,0.59,0.72,no change,plattogm
Vel'Koz,MID,50.57,0.48,1.96,no change,plattogm
Vel'Koz,SUPPORT,48.91,0.48,1.56,no change,plattogm
Vi,JUNGLE,49.49,0.31,2.54,no change,plattogm
Viego,JUNGLE,49.94,29.29,6.97,no change,plattogm
Viego,MID,51.4,29.29,2.47,no change,plattogm
Viego,TOP,49.82,29.29,1.89,no change,plattogm
Viktor,MID,51.86,0.84,5.45,no change,plattogm
Vladimir,MID,52.11,4.64,3.85,buff,plattogm
Vladimir,TOP,48.23,4.64,1.62,buff,plattogm
Volibear,TOP,49.15,5.81,4.65,no change,plattogm
Volibear,JUNGLE,52.47,5.81,6.74,no change,plattogm
Warwick,JUNGLE,51.66,0.63,2.39,no change,plattogm
Warwick,TOP,49.06,0.63,0.75,no change,plattogm
Wukong,TOP,51.98,2.2,4.95,no change,plattogm
Wukong,MID,52.1,2.13,0.63,no change,plattogm
Xayah,ADC,48.91,0.43,5.72,no change,plattogm
Xerath,MID,49.52,0.77,1.84,no change,plattogm
