champ,role,pickrate,winrate,banrate,rank,change
Gwen,MID,1.1,47.82,38.31,plattogm,nerf
Irelia,TOP,10.88,52.81,30.79,plattogm,nerf
Irelia,MID,7.05,50.15,30.79,plattogm,nerf
Kayle,TOP,3.68,52.95,2.43,plattogm,nerf
Kayle,MID,2.47,54.63,2.43,plattogm,nerf
Kennen,MID,0.48,56.95,0.31,plattogm,buff
Kennen,TOP,1.74,50.75,0.36,plattogm,buff
Mordekaiser,TOP,3.92,47.16,4.71,plattogm,buff
Mordekaiser,JUNGLE,0.42,52.11,4.71,plattogm,buff
Mordekaiser,MID,0.61,47.35,4.71,plattogm,buff
Nidalee,JUNGLE,4.25,48.1,1.86,plattogm,buff
Rell,SUPPORT,2.03,50.32,1.02,plattogm,buff
Shyvana,TOP,0.19,52.13,0.14,plattogm,buff
Shyvana,JUNGLE,1.26,49.23,0.13,plattogm,buff
Sylas,MID,12.1,50.19,19.12,plattogm,nerf
Sylas,TOP,4.27,50.55,19.12,plattogm,nerf
Syndra,MID,1.93,46.84,0.33,plattogm,buff
Thresh,SUPPORT,18.05,51.2,17.81,plattogm,nerf
Vi,JUNGLE,2.1,53.03,0.25,plattogm,nerf
Viego,JUNGLE,13.18,49.66,43.68,plattogm,nerf
Viego,MID,3.93,50.27,43.68,plattogm,nerf
Viego,TOP,3.57,51.17,43.68,plattogm,nerf
Wukong,TOP,4.24,53.66,2.94,plattogm,nerf
Wukong,MID,0.59,56.84,2.94,plattogm,nerf
Xayah,ADC,2.76,48.53,0.11,plattogm,buff
Diana,JUNGLE,13.28,50.6,19.66,plattogm,nerf
Diana,MID,2.42,52.44,19.66,plattogm,nerf
Fiora,TOP,8,52.45,15.97,plattogm,nerf
Jarvan IV,JUNGLE,2.48,51.69,0.15,plattogm,buff
Jhin,ADC,11.04,50.58,1.18,plattogm,buff
Lee Sin,JUNGLE,20,50.68,22.12,plattogm,nerf
Lee Sin,TOP,2.31,49.05,22.12,plattogm,nerf
Lulu,SUPPORT,14.92,52.07,42.04,plattogm,nerf
Sivir,ADC,2.65,50.37,0.25,plattogm,buff
Tahm Kench,TOP,9.2,50.99,24.05,plattogm,nerf
Tahm Kench,SUPPORT,1.31,48.24,24.05,plattogm,nerf
Vladimir,MID,3.83,52.2,6.86,plattogm,buff
Vladimir,TOP,1.47,49.37,6.86,plattogm,buff
Xin Zhao,JUNGLE,10.9,52.36,31.28,plattogm,nerf
Akshan,MID,6.32,49.22,33.44,plattogm,nerf
